['closedAt'],['createdAt'],['merged'],['mergedAt'],['publishedAt'],['title']
2016-4,2016-4,False,,2016-4,C# needs to be written using HTML codes or escaped
2016-4,2016-4,True,2016-4,2016-4,Update copyright year to 2016
2016-5,2016-4,True,2016-5,2016-4,Fix link parsing for non-ASCII characters
2016-4,2016-4,False,,2016-4,"""コードの書式設定"" is translation error."
2016-4,2016-4,True,2016-4,2016-4,Fixed some minor issues in README.md
2016-4,2016-4,True,2016-4,2016-4,Add point about Qt project file support
2016-4,2016-4,False,,2016-4,Update to Electron 0.37.6
2016-4,2016-4,False,,2016-4,Release/1.0.0
2017-3,2016-4,False,,2016-4,add problem matcher for Haxe compiler messages
2016-4,2016-4,True,2016-4,2016-4,Fix link in wiki/README.md
2016-4,2016-4,True,2016-4,2016-4,Update to Electron 0.37.6
2016-4,2016-4,True,2016-4,2016-4,Add CoffeeScript quote surroundingPairs
2016-4,2016-4,False,,2016-4,Make chs translation more accutrate and comprehensive
2016-5,2016-4,False,,2016-4,ProblemMatcher default values improvements
2016-5,2016-4,False,,2016-4,"Editor improvements (#4637, #3685)"
2016-4,2016-4,True,2016-4,2016-4,Introduce keywords for actions to filter on (for #4679)
2016-4,2016-4,False,,2016-4,Remove extra single quote
2016-4,2016-4,True,2016-4,2016-4,InstantiationService debt
2016-4,2016-4,True,2016-4,2016-4,Fixes #3841: Accessibility: Support exposing current language to screen readers
2016-6,2016-4,True,2016-6,2016-4,Extension management in viewlet
2016-4,2016-4,True,2016-4,2016-4,uninstall outdated extension with correct version
2016-4,2016-4,True,2016-4,2016-4,Remove unnecessary calculation
2016-4,2016-4,True,2016-4,2016-4,Create new conf files with right indent settings (fixes #5550)
2016-4,2016-4,True,2016-4,2016-4,Another remove unnecessary calculation
2016-4,2016-4,True,2016-4,2016-4,optimize glob.match for common cases
2016-7,2016-4,False,,2016-4,Move user data to ~/.vscode[-variant]/user-data and automatically set root user data dir
2016-4,2016-4,True,2016-4,2016-4,Have test.sh compile code if necessary
2016-4,2016-4,True,2016-4,2016-4,Add a global action to add a new file in the explorer - resolves #5547
2016-5,2016-4,True,2016-5,2016-4,"fix Korean(and Chinese, Japanese) IME behavior (#4541)"
2016-4,2016-4,True,2016-4,2016-4,Show move file to trash keybinding in context menu - resolves #5603
2016-4,2016-4,True,2016-4,2016-4,Introduce services in Electron main process
2016-5,2016-4,True,2016-5,2016-4,Fix validatePosition related bug
2016-5,2016-4,True,2016-5,2016-4, Add selectAllMatches command in column selection mode.
2016-5,2016-4,True,2016-5,2016-4,[folding] Added fold and unfold recursively to foldings
2016-4,2016-4,True,2016-4,2016-4,Fix a typo in Contributing.md prose
2016-4,2016-4,False,,2016-4,Upgrade minimatch in npm-shinkwrap.json
2016-4,2016-4,True,2016-4,2016-4,Use minimist for argv handling
2016-5,2016-4,True,2016-5,2016-4,Delete the mention (#5412)
2016-5,2016-4,True,2016-5,2016-4,[css] Fixed slightly misleading description of all CSS margin properties
2016-6,2016-4,False,,2016-4,Add a widget for HTML select element
2016-5,2016-4,True,2016-5,2016-4,Added .inl file extension to C++ language
2016-4,2016-4,True,2016-4,2016-4,Enable integration tests on Windows Appveyor
2016-5,2016-4,True,2016-5,2016-4,integrated terminal
2016-6,2016-4,False,,2016-4,automatic list dependent modules
2016-8,2016-4,False,,2016-4,menubar add extension menu
2016-5,2016-4,False,,2016-4,Move working file model shutdown to DoShutdown phase.
